m2,quartos,vagas,bairro,valor
80.0,2,2,Zona 2,109774.45
235.0,3,1,Zona 7,235554.03
170.0,1,1,Zona 7,173980.83
48.0,3,1,Zona 5,70264.69
174.0,3,2,Zona 7,178197.92
103.0,1,3,Zona 3,116564.93
53.0,1,2,Zona 5,52974.62
141.0,4,2,Zona 7,177967.6
91.0,2,3,Zona 2,114439.89
65.0,3,0,Zona 8,97254.68
157.0,3,1,Zona 1,206701.13
188.0,1,0,Zona 5,141659.31
126.0,1,0,Zona 8,152257.68
248.0,1,1,Zona 5,205509.22
234.0,4,1,Zona 1,327393.82
226.0,1,1,Zona 2,238241.22
243.0,2,2,Zona 1,306569.55
67.0,4,2,Zona 8,107786.05
136.0,2,1,Zona 1,174879.12
135.0,3,0,Zona 4,169418.93
157.0,3,1,Zona 4,188250.35
262.0,3,2,Zona 8,296411.63
103.0,4,3,Zona 2,147801.96
124.0,3,2,Zona 5,131040.19
280.0,4,2,Zona 2,298876.54
110.0,1,3,Zona 8,138420.85
106.0,2,0,Zona 6,167048.13
238.0,3,1,Zona 6,335368.51
296.0,1,0,Zona 6,393976.88
241.0,2,3,Zona 1,334616.01
86.0,3,2,Zona 7,103484.41
281.0,3,2,Zona 1,362860.82
201.0,3,0,Zona 7,193848.0
281.0,3,1,Zona 8,320632.82
90.0,1,1,Zona 7,100751.1
45.0,1,2,Zona 2,55430.07
295.0,1,1,Zona 6,403913.78
77.0,3,1,Zona 3,88254.65
268.0,1,0,Zona 8,295652.04
255.0,2,1,Zona 1,329821.62
157.0,4,2,Zona 6,255509.79
162.0,1,2,Zona 4,194921.97
191.0,4,1,Zona 2,207845.27
204.0,1,2,Zona 4,249750.98
214.0,4,3,Zona 1,312644.66
94.0,2,3,Zona 6,156258.88
41.0,2,3,Zona 8,78209.91
267.0,4,3,Zona 2,291173.91
159.0,4,1,Zona 3,158694.45
241.0,1,0,Zona 2,250193.43
256.0,3,1,Zona 7,252988.97
104.0,3,1,Zona 6,159180.06
248.0,1,1,Zona 7,226095.08
157.0,2,2,Zona 8,202060.71
76.0,2,2,Zona 6,121069.74
126.0,1,3,Zona 5,149889.68
77.0,2,3,Zona 2,108101.78
212.0,4,0,Zona 2,247001.06
169.0,3,0,Zona 8,221517.59
283.0,1,3,Zona 2,292498.3
47.0,1,0,Zona 8,55707.5
40.0,1,2,Zona 5,45781.74
121.0,1,2,Zona 2,144650.4
184.0,4,0,Zona 3,201298.93
201.0,1,3,Zona 4,236659.65
59.0,1,3,Zona 6,93136.42
241.0,2,2,Zona 6,344877.32
108.0,4,3,Zona 2,146252.77
256.0,2,3,Zona 2,260395.25
144.0,2,1,Zona 4,182889.33
200.0,4,2,Zona 6,298626.43
242.0,3,0,Zona 2,259143.9
240.0,2,2,Zona 4,285295.53
72.0,3,1,Zona 3,87623.76
117.0,1,2,Zona 3,99532.69
92.0,1,1,Zona 3,105860.43
148.0,1,3,Zona 5,114384.49
82.0,2,3,Zona 8,121718.8
225.0,1,3,Zona 6,317324.98
196.0,2,3,Zona 2,216648.08
123.0,4,1,Zona 8,170345.6
99.0,2,0,Zona 1,132800.0
255.0,3,2,Zona 3,247729.53
233.0,4,0,Zona 8,281829.92
204.0,2,3,Zona 1,283343.14
181.0,2,1,Zona 6,263106.23
145.0,4,0,Zona 6,218035.35
159.0,3,2,Zona 1,213298.56
153.0,3,3,Zona 6,233061.04
276.0,4,1,Zona 4,343051.33
142.0,1,0,Zona 8,146957.11
128.0,1,3,Zona 4,175065.53
275.0,2,0,Zona 4,309827.25
132.0,3,3,Zona 7,149691.93
91.0,4,1,Zona 1,148609.4
269.0,1,3,Zona 7,257967.27
78.0,3,1,Zona 3,104874.66
196.0,3,1,Zona 4,240470.44
187.0,3,3,Zona 8,241215.73
222.0,2,2,Zona 1,283713.95
115.0,4,3,Zona 7,143642.23
53.0,3,2,Zona 7,85398.84
165.0,4,2,Zona 3,181738.95
280.0,2,2,Zona 8,333296.54
262.0,1,0,Zona 4,273117.3
167.0,4,1,Zona 4,235710.99
236.0,1,3,Zona 8,267943.05
292.0,2,1,Zona 1,375129.68
90.0,4,3,Zona 8,138114.09
141.0,2,3,Zona 1,207746.4
274.0,4,1,Zona 3,273029.38
65.0,3,1,Zona 7,71204.43
81.0,1,3,Zona 3,88796.67
73.0,1,2,Zona 8,111866.59
126.0,3,1,Zona 8,156074.14
188.0,1,1,Zona 1,240153.29
277.0,1,3,Zona 3,249718.65
106.0,3,3,Zona 5,124189.78
294.0,2,1,Zona 7,274841.77
242.0,4,1,Zona 1,308211.58
57.0,1,0,Zona 1,67259.79
65.0,4,2,Zona 2,105338.61
210.0,2,0,Zona 7,203326.39
216.0,2,2,Zona 2,228530.86
292.0,2,2,Zona 1,377813.44
100.0,3,0,Zona 2,122950.94
215.0,4,3,Zona 3,239703.94
148.0,1,3,Zona 6,215358.3
195.0,4,0,Zona 8,247988.82
54.0,1,1,Zona 8,72727.61
232.0,4,3,Zona 2,274157.82
261.0,4,1,Zona 6,371796.75
142.0,4,0,Zona 4,194492.77
272.0,2,2,Zona 1,343494.16
180.0,3,3,Zona 4,236265.71
142.0,4,3,Zona 5,168687.71
229.0,2,3,Zona 7,216851.95
294.0,3,1,Zona 1,394032.69
244.0,3,2,Zona 2,247230.86
249.0,4,1,Zona 1,328407.52
184.0,3,1,Zona 1,236562.74
281.0,1,1,Zona 8,308897.65
258.0,1,3,Zona 7,258488.27
221.0,2,2,Zona 1,292813.48
211.0,2,1,Zona 8,250012.09
272.0,2,0,Zona 2,273468.61
149.0,1,0,Zona 2,155028.85
184.0,3,1,Zona 6,268226.94
40.0,3,0,Zona 5,58763.4
218.0,1,3,Zona 1,283332.88
83.0,3,1,Zona 6,140309.58
61.0,2,3,Zona 4,116574.16
161.0,1,3,Zona 1,208883.53
244.0,4,1,Zona 1,333011.84
160.0,3,0,Zona 8,178367.21
68.0,3,3,Zona 2,106408.09
164.0,3,0,Zona 1,236711.37
119.0,1,1,Zona 3,122206.66
186.0,2,3,Zona 8,200496.51
68.0,3,2,Zona 2,103918.16
249.0,2,2,Zona 2,266275.01
99.0,4,1,Zona 5,117509.27
133.0,4,1,Zona 8,173249.74
287.0,2,2,Zona 3,262286.17
184.0,4,3,Zona 6,308206.17
295.0,2,3,Zona 7,309864.27
41.0,3,1,Zona 5,54738.44
167.0,1,0,Zona 5,130210.89
209.0,2,2,Zona 4,252985.87
152.0,4,2,Zona 8,186001.12
138.0,4,1,Zona 3,152766.33
288.0,3,2,Zona 6,412337.61
234.0,3,2,Zona 2,258963.95
192.0,3,3,Zona 4,240266.33
